1,7,6,5
2,9,6,5
3,10,6,6
4,12,7,8
5,13,8,6
6,15,9,8
7,14,9,9
8,17,12,9
9,18,14,14
10,17,14,18
11,16,15,20
12,15,16,23
13,14,16,24
14,15,15,22
15,15,16,25
16,12,17,26
17,14,18,26
18,14,15,26
19,14,16,21
20,14,17,21
21,13,17,22
22,15,17,19
23,16,16,17
24,15,19,16
25,17,18,14
26,17,19,13
27,15,20,12
28,15,20,13
29,14,21,14
30,15,21,13
31,18,19,13
32,18,18,15
33,18,17,17
34,19,15,20
35,18,16,22
36,20,14,23
37,21,14,26
38,22,12,27
39,21,14,26
40,20,16,25
41,19,16,24
42,17,18,26
43,17,21,26
44,15,19,26
45,16,19,22
46,15,20,18
47,14,19,16
48,14,19,18
49,14,18,18
50,14,17,18
51,12,15,19
52,13,15,17
53,14,13,17
54,14,15,14
55,13,16,15
56,12,17,15
57,13,16,15
58,12,17,14
59,11,16,18
60,12,14,20
61,12,18,18
62,11,18,18
63,13,19,18
64,16,20,18
65,17,20,19
66,17,17,20
67,17,19,17
68,18,18,18
69,21,19,14
70,21,21,11
71,22,21,12
72,20,25,12
73,17,23,11
74,15,22,13
75,15,22,13
76,14,25,14
77,14,26,18
78,10,26,19
79,8,28,19
80,11,26,19
81,11,26,18
82,12,24,17
83,13,22,18
84,16,20,16
85,16,23,15
86,15,23,14
87,15,23,11
88,16,22,10
89,17,22,10
90,15,20,13
91,16,19,14
92,15,20,15
93,14,21,16
94,14,21,20
95,11,19,23
96,12,16,26
97,14,17,26
98,14,17,27
99,13,14,25
100,15,14,24
101,16,13,25
102,17,12,24
103,16,13,22
104,19,14,20
105,20,13,17
106,21,14,15
107,20,15,15
108,21,16,14
109,20,19,14
110,19,20,14
111,20,19,14
112,21,19,14
113,22,19,13
114,22,18,16
115,23,22,14
116,21,22,14
117,22,21,14
118,19,21,16
119,20,18,17
120,20,16,18
121,19,17,16
122,17,17,18
123,15,16,19
124,14,17,17
125,12,12,19
126,15,13,18
127,15,12,17
128,17,14,16
129,17,14,16
130,15,14,16
131,15,17,15
132,18,20,12
133,18,21,13
134,19,22,10
135,19,21,12
136,18,22,13
137,16,25,15
138,16,23,14
139,18,26,13
140,20,25,11
141,19,21,13
142,16,20,13
